date,geography,geography_code,metric,stratum,metric_value,theme,sub_theme,topic,geography_type,metric_group,sex,age,year,month,epiweek,in_reporting_delay_period
2024-03-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,13.04,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,3,9,FALSE
2024-04-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,13.89,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,4,14,FALSE
2024-05-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,12.84,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,5,18,FALSE
2024-06-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,10,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,6,22,FALSE
2024-07-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,6.93,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,7,27,FALSE
2024-08-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,5.26,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,8,31,FALSE
2024-09-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,10,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,9,35,FALSE
2024-10-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,12.79,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,10,40,FALSE
2024-11-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.91,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,11,44,FALSE
2024-12-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,16.67,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2024,12,48,FALSE
2025-01-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,19.57,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,1,1,FALSE
2025-02-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,20.69,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,2,5,FALSE
2025-03-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,18.29,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,3,9,FALSE
2025-04-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,13.33,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,4,13,FALSE
2025-05-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.84,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,5,18,FALSE
2025-06-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,19.05,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,6,22,FALSE
2025-07-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,21.24,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,7,26,FALSE
2025-08-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,17.86,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,8,31,FALSE
2025-09-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,15.18,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,9,35,FALSE
2025-10-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,11.76,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,10,40,FALSE
2025-11-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,11.96,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,11,44,FALSE
2025-12-01,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",QOX,e-coli_testing_bacteraemiaPercentResistantRollingMonth,Ciprofloxacin,10.99,infectious_disease,antimicrobial_resistance,E-coli,Integrated Care Board,testing,all,all,2025,12,48,FALSE
